No         x              y               H          Magnitude    Background       SD
225       1736.456        246.338               1242.816555    17.263982   9828.853774    2.790868
226        603.987       1039.321               1234.908353    17.270913   9834.712527    2.792502
227       1485.086        439.978               1219.988304    17.284111   9837.144126    2.739508
228       1203.612       1439.137               1211.446002    17.291740   9831.993130    3.086916
229       1569.458       1018.556               1209.264241    17.293697   9846.476885    2.813806
230        803.739        468.990               1207.341484    17.295425   9835.966274    2.803037
231       1815.249       1342.058               1196.961412    17.304800   9832.679913    2.943477
232        823.471       1815.718               1191.353713    17.309898   9825.050785    2.886522
233        356.302       1405.967               1170.101400    17.329441   9832.944403    2.954522
234         56.717       1196.706               1169.843995    17.329680   9830.535000    2.842243
235        230.023        983.425               1165.656517    17.333574   9831.357796    2.857910
236       1554.698       1816.868               1159.324624    17.339487   9825.234987    2.952348
237        921.785       1690.638               1136.061219    17.361496   9827.174413    2.957909
238       1842.761       1435.963               1129.118244    17.368151   9828.668053    2.939709
239        971.486       1229.751               1126.732650    17.370448   9832.406103    2.888633
240        668.302       1819.785               1122.318586    17.374710   9828.433903    2.840604
241        963.233       1728.672               1119.044593    17.377882   9826.465601    2.948825
242       1257.534        743.951               1117.787428    17.379102   9837.746411    2.871252
243        894.953       1514.656               1106.343719    17.390275   9832.140850    2.898041
244       1495.861       1088.594               1099.054790    17.397452   9837.632022    3.099771
245       1772.451        388.579               1092.189347    17.404255   9828.930132    2.725322
246       1487.567       1106.110               1084.397761    17.412028   9837.368315    2.876692
247        991.400        166.497               1080.306848    17.416132   9828.187017    2.802765
248       1288.597         74.367               1061.547477    17.435151   9830.135520    2.694043
249       1131.521        528.040               1056.452502    17.440375   9835.772995    2.918781
250        760.123       1833.252               1054.529630    17.442353   9822.745901    2.777781
251       1250.658        376.519               1044.794130    17.452423   9834.510269    2.992816
252         86.343        176.088               1038.446835    17.459039   9828.230028    3.090203
253         97.393        839.122               1024.669996    17.473540   9829.345619    2.769280
254       1418.649        107.495               1022.368303    17.475982   9831.145887    2.837990
255       1477.173        185.448               1007.362415    17.492036   9833.329310    2.711131
256       1603.250        396.643                987.992484    17.513116   9831.285741    2.767850
257       1069.546         16.296                986.589061    17.514659   9838.287879    2.761056
258        968.628        708.059                982.775474    17.518864   9837.624130    2.859369
259        407.064       1384.592                982.626514    17.519029   9836.294526    3.239281
260       1198.734        111.643                980.214439    17.521697   9828.377102    2.816295
261       1438.777       1159.020                974.250351    17.528324   9834.843985    2.916692
262       1869.786       1567.654                971.641432    17.531235   9829.907563    2.960586
263        976.359       1882.456                967.356517    17.536034   9826.775236    2.759335
264       1750.274       1171.122                963.974377    17.539836   9830.625449    2.936982
265       1768.339        549.426                962.602739    17.541382   9831.629405    2.829618
266       1324.433       1686.399                954.511855    17.550547   9835.371560    2.852070
267       1829.568       1768.459                927.196197    17.582071   9825.666414    2.974597
268       1551.476        674.699                922.782754    17.587251   9837.750369    2.704198
269       1853.450        260.414                917.641460    17.593317   9830.312224    2.779009
270       1388.147       1127.599                915.417313    17.595952   9835.948878    2.830898
271       1701.052        957.748                907.600808    17.605263   9836.341243    2.823883
272       1767.042       1404.946                907.088506    17.605876   9830.284258    2.886859
273        630.956        560.236                898.354577    17.616381   9838.100997    2.766971
274       1091.646       1325.486                882.580015    17.635615   9833.585494    2.851959
275        415.551       1496.386                881.806050    17.636567   9835.223672    2.878987
276       1287.155       1319.442                880.453136    17.638234   9835.602926    2.834142
277        798.430       1122.462                843.608866    17.684647   9835.868732    3.026871
278        853.338         20.899                841.442113    17.687439   9827.018908    2.744393
279       1496.417       1026.502                841.000207    17.688010   9847.450917    3.173660
280        183.855       1229.605                838.560595    17.691164   9830.629120    2.766992
